"partid","item","sentence","construct","classification","IO","counter","group","Value","zscores"
"6362852176f08a3984fa6ef1","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","35","Linda communicated a woman from work a point.","DOsentence","non-alternating","longIndefinite",5,"F",32,-0.804254128115997
"6362852176f08a3984fa6ef1","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",10,-1.36364681918624
"6362852176f08a3984fa6ef1","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",88,0.619654540062815
"6362852176f08a3984fa6ef1","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",16,-1.21108517616709
"6362852176f08a3984fa6ef1","39","Michael snapped a comment to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",79,0.390812075534078
"6362852176f08a3984fa6ef1","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",46,-0.448276961071294
"6362852176f08a3984fa6ef1","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",21,-1.08395047365112
"6362852176f08a3984fa6ef1","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",22,-1.05852353314793
"6362852176f08a3984fa6ef1","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","111","Alice offered a payment to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",18,-1.1602312951607
"6362852176f08a3984fa6ef1","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",16,-1.21108517616709
"6362852176f08a3984fa6ef1","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",79,0.390812075534078
"6362852176f08a3984fa6ef1","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",80,0.416239016037271
"6362852176f08a3984fa6ef1","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",10,-1.36364681918624
"6362852176f08a3984fa6ef1","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",71,0.187396551508533
"6362852176f08a3984fa6ef1","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","199","Michael catapulted a container to a man who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","191","Maria carted some books to a team.","PDsentence","alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","115","Bob hit a woman a curveball.","DOsentence","alternating","shortIndefinite",5,"F",19,-1.13480435465751
"6362852176f08a3984fa6ef1","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","135","Linda owed a job to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",21,-1.08395047365112
"6362852176f08a3984fa6ef1","15","Alice admitted a slip-up to a man who was wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",99,0.899350885597939
"6362852176f08a3984fa6ef1","27","Mary proposed a man an idea.","DOsentence","non-alternating","shortIndefinite",5,"F",99,0.899350885597939
