,Unnamed: 0,item,plural,classification,frequency_rank,recipient_id,DOsentence,PDsentence,DO_score,PD_score,diff
0,1,101,False,alternating,1,longIndefinite,Bob took a man wearing a hat a gift.,Bob took a gift to a man wearing a hat.,-8.585197508105782,-8.490409997867204,-0.09478751023857868
1,2,101,False,alternating,1,shortIndefinite,Juan took a woman a gift.,Juan took a gift to a woman.,-8.716455470090972,-9.049860902409492,0.3334054323185196
2,3,103,False,alternating,3,longIndefinite,Michael gave a man wearing a hat a message.,Michael gave a message to a man wearing a hat.,-9.703496799384446,-9.289815288580876,-0.4136815108035705
3,4,103,False,alternating,3,shortIndefinite,Bob gave a woman a message.,Bob gave a message to a woman.,-9.827169369698517,-9.804837337871604,-0.022332031826913123
4,5,105,False,alternating,5,longIndefinite,Linda showed a man who was from work a picture.,Linda showed a picture to a man who was from work.,-9.80944360802184,-10.385426924092613,0.5759833160707721
5,6,105,False,alternating,5,shortIndefinite,Juan showed a woman a picture.,Juan showed a picture to a woman.,-9.555366329510985,-9.607123974152042,0.051757644641057254
6,7,107,False,alternating,7,longIndefinite,Maria brought a woman who was wearing a hat a blanket.,Maria brought a blanket to a woman who was wearing a hat.,-10.84482547534518,-9.24075198359916,-1.6040734917460195
7,8,107,False,alternating,7,shortIndefinite,Juan brought a woman a blanket.,Juan brought a blanket to a woman.,-9.044832484035311,-9.77977060305691,0.7349381190215993
8,9,109,False,alternating,9,longIndefinite,John paid a man wearing a hat a compliment.,John paid a compliment to a man wearing a hat.,-8.514284862662958,-8.617303622151475,0.10301875948851702
9,10,109,False,alternating,9,shortIndefinite,Mary paid a woman a compliment.,Mary paid a compliment to a woman.,-11.167692996191787,-11.294437857747917,0.12674486155612996
10,11,111,False,alternating,11,longIndefinite,Maria offered a man from work a payment.,Maria offered a payment to a man from work.,-9.851273643555388,-10.033884140513779,0.18261049695839127
11,12,111,False,alternating,11,shortIndefinite,Alice offered a woman a payment.,Alice offered a payment to a woman.,-10.594364659366455,-10.245880246976867,-0.34848441238958827
12,13,113,False,alternating,13,longIndefinite,Linda sold a woman who was from work some coffee.,Linda sold some coffee to a woman who was from work.,-9.945384817591135,-9.486310218718408,-0.4590745988727267
13,14,113,False,alternating,13,shortIndefinite,Alice sold a man some coffee.,Alice sold some coffee to a man.,-9.845497739883264,-9.113090757171161,-0.7324069827121029
14,15,115,False,alternating,15,longIndefinite,Michael hit a woman wearing a hat a curveball.,Michael hit a curveball to a woman wearing a hat.,-10.047172253109734,-9.458498117511983,-0.588674135597751
15,16,115,False,alternating,15,shortIndefinite,Bob hit a woman a curveball.,Bob hit a curveball to a woman.,-9.121715984583389,-9.358937836959456,0.23722185237606652
16,17,117,False,alternating,17,longIndefinite,Mary taught a woman wearing a hat a concept.,Mary taught a concept to a woman wearing a hat.,-9.878227137428858,-9.01737372599706,-0.8608534114317976
17,18,117,False,alternating,17,shortIndefinite,Maria taught a woman a concept.,Maria taught a concept to a woman.,-9.418123482298867,-7.9544430443502625,-1.4636804379486046
18,19,119,False,alternating,19,longIndefinite,Juan threw a woman wearing a hat a soda.,Juan threw a soda to a woman wearing a hat.,-8.390210560066784,-8.456315271270938,0.0661047112041544
19,20,119,False,alternating,19,shortIndefinite,John threw a woman a soda.,John threw a soda to a woman.,-7.9028894640700065,-6.724976605064663,-1.1779128590053434
20,21,121,False,alternating,21,longIndefinite,Linda pushed a woman who was from work a plate.,Linda pushed a plate to a woman who was from work.,-10.221513073235965,-9.770017125131497,-0.45149594810446736
21,22,121,False,alternating,21,shortIndefinite,John pushed a woman a plate.,John pushed a plate to a woman.,-8.233378387943532,-8.234045932144669,0.0006675442011374599
22,23,123,True,alternating,23,longIndefinite,Linda flew a team from work some weapons.,Linda flew some weapons to a team from work.,-9.838978959201768,-9.01897565003243,-0.8200033091693371
23,24,123,True,alternating,23,shortIndefinite,Bob flew a team some weapons.,Bob flew some weapons to a team.,-9.586665701373736,-7.808984159639006,-1.7776815417347303
24,25,125,False,alternating,25,longIndefinite,Bob promised a woman who was wearing a hat a chance.,Bob promised a chance to a woman who was wearing a hat.,-8.940967158636937,-10.272300980234292,1.3313338215973545
25,26,125,False,alternating,25,shortIndefinite,Michael promised a man a chance.,Michael promised a chance to a man.,-11.744915304088499,-11.199404342810036,-0.5455109612784632
26,27,127,False,alternating,27,longIndefinite,John kicked a woman who was from work a football.,John kicked a football to a woman who was from work.,-8.4467289769648,-8.467336642219884,0.020607665255083063
27,28,127,False,alternating,27,shortIndefinite,Michael kicked a woman a football.,Michael kicked a football to a woman.,-8.655996484096315,-9.254974850730138,0.5989783666338226
28,29,129,False,alternating,29,longIndefinite,Alice granted a woman wearing a hat another chance.,Alice granted another chance to a woman wearing a hat.,-9.759397363891122,-9.621063671926024,-0.13833369196509793
29,30,129,False,alternating,29,shortIndefinite,Linda granted a man another chance.,Linda granted another chance to a man.,-10.879775314625581,-10.640850682684713,-0.23892463194086844
30,31,131,False,alternating,31,longIndefinite,Michael slipped a man from work a pill.,Michael slipped a pill to a man from work.,-10.318427468244995,-10.407064314909043,0.08863684666404836
31,32,131,False,alternating,31,shortIndefinite,John slipped a woman a pill.,John slipped a pill to a woman.,-8.329497655882427,-8.431397628323353,0.10189997244092552
32,33,133,False,alternating,33,longIndefinite,John quoted a man wearing a hat a sentence.,John quoted a sentence to a man wearing a hat.,-8.317999140230002,-8.440012632125587,0.12201349189558464
33,34,133,False,alternating,33,shortIndefinite,Michael quoted a woman a sentence.,Michael quoted a sentence to a woman.,-8.025208154356623,-10.56387053147725,2.5386623771206267
34,35,135,False,alternating,35,longIndefinite,Linda owed a woman wearing a hat a job.,Linda owed a job to a woman wearing a hat.,-9.575437452177344,-9.398830890115459,-0.17660656206188463
35,36,135,False,alternating,35,shortIndefinite,Bob owed a woman a job.,Bob owed a job to a woman.,-9.769574165251889,-9.807260293171714,0.03768612791982484
36,37,137,False,alternating,37,longIndefinite,Mary slid a man from work a note.,Mary slid a note to a man from work.,-9.682493214457256,-10.09839200031703,0.415898785859774
37,38,137,False,alternating,37,shortIndefinite,Linda slid a woman a note.,Linda slid a note to a woman.,-9.920992353203644,-10.372398771512866,0.45140641830922235
38,39,139,False,alternating,39,longIndefinite,Mary assigned a woman who was from work a desk.,Mary assigned a desk to a woman who was from work.,-7.999187392563259,-7.126065353155163,-0.8731220394080959
39,40,139,False,alternating,39,shortIndefinite,Michael assigned a woman a desk.,Michael assigned a desk to a woman.,-4.702970921128197,-7.083734841523191,2.380763920394994
40,41,141,False,alternating,41,longIndefinite,Alice guaranteed a man wearing a hat a spot.,Alice guaranteed a spot to a man wearing a hat.,-9.39030325018485,-9.227126912581273,-0.16317633760357708
41,42,141,False,alternating,41,shortIndefinite,John guaranteed a man a spot.,John guaranteed a spot to a man.,-8.07683822219136,-8.302021496044365,0.22518327385300374
42,43,143,False,alternating,43,longIndefinite,John floated a woman who was wearing a hat a bottle.,John floated a bottle to a woman who was wearing a hat.,-8.574206156041496,-8.772488768981798,0.19828261294030192
43,44,143,False,alternating,43,shortIndefinite,Michael floated a woman a bottle.,Michael floated a bottle to a woman.,-10.354801975050297,-10.54354752067998,0.1887455456296827
44,45,145,False,alternating,45,longIndefinite,Maria pitched a woman who was from work a proposal.,Maria pitched a proposal to a woman who was from work.,-10.251351185075839,-10.315562509135667,0.0642113240598281
45,46,145,False,alternating,45,shortIndefinite,Bob pitched a man a proposal.,Bob pitched a proposal to a man.,-10.03189278377071,-9.98477919698133,-0.04711358678937927
46,47,147,False,alternating,47,longIndefinite,Michael shipped a man who was wearing a hat a box.,Michael shipped a box to a man who was wearing a hat.,-9.520051365847802,-9.408165037049699,-0.11188632879810356
47,48,147,False,alternating,47,shortIndefinite,Michael shipped a man a box.,Michael shipped a box to a man.,-8.02208096179924,-9.443506888718057,1.4214259269188165
48,49,149,False,alternating,49,longIndefinite,John slammed a woman who was from work a fastball.,John slammed a fastball to a woman who was from work.,-8.737598776577393,-8.652970547216848,-0.08462822936054515
49,50,149,False,alternating,49,shortIndefinite,Bob slammed a woman a fastball.,Bob slammed a fastball to a woman.,-9.390254105602827,-9.50447328864188,0.11421918303905265
50,51,151,False,alternating,51,longIndefinite,Alice signaled a woman from work a formation.,Alice signaled a formation to a woman from work.,-9.605372763184683,-9.318900883953123,-0.28647187923155926
51,52,151,False,alternating,51,shortIndefinite,Bob signaled a woman a formation.,Bob signaled a formation to a woman.,-5.531575734972052,-7.4204397137120495,1.8888639787399972
52,53,153,False,alternating,53,longIndefinite,Bob snuck a woman who was from work a cookie.,Bob snuck a cookie to a woman who was from work.,-10.16868107616969,-10.297686536994686,0.1290054608249953
53,54,153,False,alternating,53,shortIndefinite,Linda snuck a woman a cookie.,Linda snuck a cookie to a woman.,-11.277776462279592,-11.082017423899508,-0.1957590383800838
54,55,155,False,alternating,55,longIndefinite,Linda shoved a man who was from work a letter.,Linda shoved a letter to a man who was from work.,-10.097911326815375,-10.063617962659364,-0.03429336415601014
55,56,155,False,alternating,55,shortIndefinite,John shoved a woman a letter.,John shoved a letter to a woman.,-8.269059835714492,-8.286203372743625,0.01714353702913307
56,57,157,False,alternating,57,longIndefinite,Mary hauled a man who was wearing a hat a shipment.,Mary hauled a shipment to a man who was wearing a hat.,-10.520812522379833,-10.247578553141228,-0.2732339692386052
57,58,157,False,alternating,57,shortIndefinite,Alice hauled a man a shipment.,Alice hauled a shipment to a man.,-11.432961819738024,-9.921549009145139,-1.5114128105928852
58,59,159,False,alternating,59,longIndefinite,Bob willed a woman who was from work a painting.,Bob willed a painting to a woman who was from work.,-8.109387004628886,-9.890233494999897,1.7808464903710117
59,60,159,False,alternating,59,shortIndefinite,John willed a man a painting.,John willed a painting to a man.,-8.305835833753047,-8.451834084489853,0.14599825073680606
60,61,161,False,alternating,61,longIndefinite,Mary mailed a woman from work a note.,Mary mailed a note to a woman from work.,-8.93459631481618,-10.014871610094428,1.0802752952782484
61,62,161,False,alternating,61,shortIndefinite,Alice mailed a man a note.,Alice mailed a note to a man.,-10.460114289376337,-10.094207446739109,-0.3659068426372283
62,63,163,False,alternating,63,longIndefinite,Maria phoned a man who was from work a request.,Maria phoned a request to a man who was from work.,-10.898189881793204,-10.441316509448196,-0.456873372345008
63,64,163,False,alternating,63,shortIndefinite,Maria phoned a woman a request.,Maria phoned a request to a woman.,-11.62256827191291,-10.57958757856149,-1.042980693351419
64,65,165,False,alternating,65,longIndefinite,John flung a woman wearing a hat an apple.,John flung an apple to a woman wearing a hat.,-8.51346402963841,-8.634961967610783,0.1214979379723733
65,66,165,False,alternating,65,shortIndefinite,Linda flung a man an apple.,Linda flung an apple to a man.,-9.765843854465366,-10.915835238199781,1.149991383734415
66,67,167,False,alternating,67,longIndefinite,Alice chucked a woman who was wearing a hat a bag.,Alice chucked a bag to a woman who was wearing a hat.,-10.293342891683173,-10.65631679429028,0.3629739026071075
67,68,167,False,alternating,67,shortIndefinite,Juan chucked a woman a bag.,Juan chucked a bag to a woman.,-9.800331179557286,-9.719089761154311,-0.08124141840297483
68,69,169,False,alternating,69,longIndefinite,John repaid a woman from work some money.,John repaid some money to a woman from work.,-8.38398725448511,-8.28086415702668,-0.10312309745842896
69,70,169,False,alternating,69,shortIndefinite,Maria repaid a woman some money.,Maria repaid some money to a woman.,-8.998571987201299,-9.069712707615519,0.07114072041422048
70,71,171,False,alternating,71,longIndefinite,Alice wheeled a man wearing a hat some fruit.,Alice wheeled some fruit to a man wearing a hat.,-8.63828571998372,-8.534189433942085,-0.10409628604163501
71,72,171,False,alternating,71,shortIndefinite,Mary wheeled a man some fruit.,Mary wheeled some fruit to a man.,-8.52910850656246,-8.478626886388813,-0.0504816201736471
72,73,173,False,alternating,73,longIndefinite,John hurled a woman from work a ball.,John hurled a ball to a woman from work.,-8.563589872404403,-8.331571349795619,-0.23201852260878475
73,74,173,False,alternating,73,shortIndefinite,Linda hurled a man a ball.,Linda hurled a ball to a man.,-9.966592388883782,-9.799458320393388,-0.16713406849039458
74,75,175,False,alternating,75,longIndefinite,Bob faxed a woman who was from work a form.,Bob faxed a form to a woman who was from work.,-10.189287353587753,-10.117493562699497,-0.07179379088825577
75,76,175,False,alternating,75,shortIndefinite,John faxed a woman a form.,John faxed a form to a woman.,-8.48177378683239,-8.51777840372133,0.03600461688894008
76,77,177,False,alternating,77,longIndefinite,Michael telephoned a man from work some news.,Michael telephoned some news to a man from work.,-8.65229272377865,-8.783270605258316,0.13097788147966583
