,Unnamed: 0,item,plural,classification,frequency_rank,recipient_id,DOsentence,PDsentence,DO_score,PD_score,diff
0,1,101,False,alternating,1,longIndefinite,Bob took a man wearing a hat a gift.,Bob took a gift to a man wearing a hat.,-66.267930303814,-66.3550008179497,-0.08707051413570355
1,2,101,False,alternating,1,shortIndefinite,Juan took a woman a gift.,Juan took a gift to a woman.,-61.919390763384634,-62.02475127134972,-0.10536050796508789
2,3,103,False,alternating,3,longIndefinite,Michael gave a man wearing a hat a message.,Michael gave a message to a man wearing a hat.,-75.96077620797146,-77.10347335767904,-1.1426971497075726
3,4,103,False,alternating,3,shortIndefinite,Bob gave a woman a message.,Bob gave a message to a woman.,-65.94953584624062,-66.06731891584573,-0.11778306960511031
4,5,105,False,alternating,5,longIndefinite,Linda showed a man who was from work a picture.,Linda showed a picture to a man who was from work.,-67.43172478343749,-67.50422880231247,-0.07250401887498015
5,6,105,False,alternating,5,shortIndefinite,Juan showed a woman a picture.,Juan showed a picture to a woman.,-61.919390763384555,-62.024709086127274,-0.10531832274271835
6,7,107,False,alternating,7,longIndefinite,Maria brought a woman who was wearing a hat a blanket.,Maria brought a blanket to a woman who was wearing a hat.,-79.75366874666378,-79.81712095303071,-0.06345220636693227
7,8,107,False,alternating,7,shortIndefinite,Juan brought a woman a blanket.,Juan brought a blanket to a woman.,-61.919390763384634,-62.024751271349714,-0.10536050796508079
8,9,109,False,alternating,9,longIndefinite,John paid a man wearing a hat a compliment.,John paid a compliment to a man wearing a hat.,-79.66957069865067,-78.94082376889287,0.7287469297578042
9,10,109,False,alternating,9,shortIndefinite,Mary paid a woman a compliment.,Mary paid a compliment to a woman.,-73.59201478958114,-73.708814339924,-0.11679955034286138
10,11,111,False,alternating,11,longIndefinite,Maria offered a man from work a payment.,Maria offered a payment to a man from work.,-79.29343796727089,-79.38884054596913,-0.09540257869824131
11,12,111,False,alternating,11,shortIndefinite,Alice offered a woman a payment.,Alice offered a payment to a woman.,-73.04835356850808,-73.1661366381146,-0.11778306960651719
12,13,113,False,alternating,13,longIndefinite,Linda sold a woman who was from work some coffee.,Linda sold some coffee to a woman who was from work.,-67.43172478336946,-67.5058328410545,-0.07410805768503792
13,14,113,False,alternating,13,shortIndefinite,Alice sold a man some coffee.,Alice sold some coffee to a man.,-73.04971742475999,-73.16750046370916,-0.1177830389491703
14,15,115,False,alternating,15,longIndefinite,Michael hit a woman wearing a hat a curveball.,Michael hit a curveball to a woman wearing a hat.,-85.98787948240111,-84.17912352990993,1.8087559524911825
15,16,115,False,alternating,15,shortIndefinite,Bob hit a woman a curveball.,Bob hit a curveball to a woman.,-66.06731891610008,-66.17267942406517,-0.10536050796508789
16,17,117,False,alternating,17,longIndefinite,Mary taught a woman wearing a hat a concept.,Mary taught a concept to a woman wearing a hat.,-73.70566445863365,-73.99744195911734,-0.2917775004836898
17,18,117,False,alternating,17,shortIndefinite,Maria taught a woman a concept.,Maria taught a concept to a woman.,-79.26818513696887,-79.38595524139649,-0.11777010442762048
18,19,119,False,alternating,19,longIndefinite,Juan threw a woman wearing a hat a soda.,Juan threw a soda to a woman wearing a hat.,-62.20707281857771,-62.287115404822565,-0.08004258624485772
19,20,119,False,alternating,19,shortIndefinite,John threw a woman a soda.,John threw a soda to a woman.,-85.06560944902431,-85.18267604879517,-0.11706659977086531
20,21,121,False,alternating,21,longIndefinite,Linda pushed a woman who was from work a plate.,Linda pushed a plate to a woman who was from work.,-67.43172478343477,-67.50583278826464,-0.07410800482986701
21,22,121,False,alternating,21,shortIndefinite,John pushed a woman a plate.,John pushed a plate to a woman.,-85.06560923299898,-84.48048941856015,0.5851198144388263
22,23,123,True,alternating,23,longIndefinite,Linda flew a team from work some weapons.,Linda flew some weapons to a team from work.,-67.26467084552536,-67.35168217011217,-0.08701132458681116
23,24,123,True,alternating,23,shortIndefinite,Bob flew a team some weapons.,Bob flew some weapons to a team.,-65.94953584671018,-66.06731891630342,-0.11778306959324425
24,25,125,False,alternating,25,longIndefinite,Bob promised a woman who was wearing a hat a chance.,Bob promised a chance to a woman who was wearing a hat.,-66.43504355782505,-66.50915164851935,-0.07410809069429547
25,26,125,False,alternating,25,shortIndefinite,Michael promised a man a chance.,Michael promised a chance to a man.,-86.01646481533007,-82.01141060028597,4.0050542150440975
26,27,127,False,alternating,27,longIndefinite,John kicked a woman who was from work a football.,John kicked a football to a woman who was from work.,-85.47081153102621,-85.55050308488497,-0.07969155385875126
27,28,127,False,alternating,27,shortIndefinite,Michael kicked a woman a football.,Michael kicked a football to a woman.,-91.36084635107042,-89.32127293993042,2.0395734111399975
28,29,129,False,alternating,29,longIndefinite,Alice granted a woman wearing a hat another chance.,Alice granted another chance to a woman wearing a hat.,-73.16450609325459,-73.45473569789715,-0.29022960464256187
29,30,129,False,alternating,29,shortIndefinite,Linda granted a man another chance.,Linda granted another chance to a man.,-67.06400011055261,-67.1693605520442,-0.10536044149158386
30,31,131,False,alternating,31,longIndefinite,Michael slipped a man from work a pill.,Michael slipped a pill to a man from work.,-91.43200792764773,-91.66205977486007,-0.23005184721233718
31,32,131,False,alternating,31,shortIndefinite,John slipped a woman a pill.,John slipped a pill to a woman.,-85.06560944011754,-85.18338781212384,-0.11777837200629904
32,33,133,False,alternating,33,longIndefinite,John quoted a man wearing a hat a sentence.,John quoted a sentence to a man wearing a hat.,-77.33349706175193,-78.54999609396384,-1.2164990322119138
33,34,133,False,alternating,33,shortIndefinite,Michael quoted a woman a sentence.,Michael quoted a sentence to a woman.,-91.34898003277296,-91.38956449587937,-0.04058446310641273
34,35,135,False,alternating,35,longIndefinite,Linda owed a woman wearing a hat a job.,Linda owed a job to a woman wearing a hat.,-67.35161652138831,-67.43172145652248,-0.08010493513417316
35,36,135,False,alternating,35,shortIndefinite,Bob owed a woman a job.,Bob owed a job to a woman.,-65.9495358467102,-66.06731891615928,-0.11778306944907513
36,37,137,False,alternating,37,longIndefinite,Mary slid a man from work a note.,Mary slid a note to a man from work.,-73.81515836479129,-73.91046853926451,-0.09531017447322654
37,38,137,False,alternating,37,shortIndefinite,Linda slid a woman a note.,Linda slid a note to a woman.,-67.06400012638123,-67.16936063434554,-0.1053605079643063
38,39,139,False,alternating,39,longIndefinite,Mary assigned a woman who was from work a desk.,Mary assigned a desk to a woman who was from work.,-73.99737125990993,-74.07741328851553,-0.08004202860560383
39,40,139,False,alternating,39,shortIndefinite,Michael assigned a woman a desk.,Michael assigned a desk to a woman.,-81.77630097558142,-79.53345167801359,2.2428492975678296
40,41,141,False,alternating,41,longIndefinite,Alice guaranteed a man wearing a hat a spot.,Alice guaranteed a spot to a man wearing a hat.,-73.35864093084399,-73.45105548780245,-0.09241455695845957
41,42,141,False,alternating,41,shortIndefinite,John guaranteed a man a spot.,John guaranteed a spot to a man.,-85.06547778224308,-85.18331683562202,-0.11783905337894396
42,43,143,False,alternating,43,longIndefinite,John floated a woman who was wearing a hat a bottle.,John floated a bottle to a woman who was wearing a hat.,-85.55064879555172,-85.57410111645936,-0.02345232090763716
43,44,143,False,alternating,43,shortIndefinite,Michael floated a woman a bottle.,Michael floated a bottle to a woman.,-91.35962726409626,-91.11254661164,0.24708065245626187
44,45,145,False,alternating,45,longIndefinite,Maria pitched a woman who was from work a proposal.,Maria pitched a proposal to a woman who was from work.,-79.67364671513518,-79.75368856346012,-0.08004184832493877
45,46,145,False,alternating,45,shortIndefinite,Bob pitched a man a proposal.,Bob pitched a proposal to a man.,-65.9495358467102,-66.0673189163208,-0.1177830696105957
46,47,147,False,alternating,47,longIndefinite,Michael shipped a man who was wearing a hat a box.,Michael shipped a box to a man who was wearing a hat.,-89.68626002574409,-87.71922506959838,1.9670349561457101
47,48,147,False,alternating,47,shortIndefinite,Michael shipped a man a box.,Michael shipped a box to a man.,-91.35523455443858,-91.47238578201747,-0.11715122757888707
48,49,149,False,alternating,49,longIndefinite,John slammed a woman who was from work a fastball.,John slammed a fastball to a woman who was from work.,-85.37151798086737,-80.50271555039495,4.868802430472414
49,50,149,False,alternating,49,shortIndefinite,Bob slammed a woman a fastball.,Bob slammed a fastball to a woman.,-65.94953584299657,-66.06731848198575,-0.1177826389891834
50,51,151,False,alternating,51,longIndefinite,Alice signaled a woman from work a formation.,Alice signaled a formation to a woman from work.,-73.27285334580976,-73.36816735395884,-0.09531400814907443
51,52,151,False,alternating,51,shortIndefinite,Bob signaled a woman a formation.,Bob signaled a formation to a woman.,-65.94953584671016,-66.06731891632072,-0.11778306961055307
52,53,153,False,alternating,53,longIndefinite,Bob snuck a woman who was from work a cookie.,Bob snuck a cookie to a woman who was from work.,-66.43504344939436,-66.50915157121617,-0.07410812182180848
53,54,153,False,alternating,53,shortIndefinite,Linda snuck a woman a cookie.,Linda snuck a cookie to a woman.,-67.16936063227709,-67.26467084159994,-0.09531020932284662
54,55,155,False,alternating,55,longIndefinite,Linda shoved a man who was from work a letter.,Linda shoved a letter to a man who was from work.,-67.43172478342902,-67.50583290655389,-0.0741081231248728
55,56,155,False,alternating,55,shortIndefinite,John shoved a woman a letter.,John shoved a letter to a woman.,-85.06560941887486,-85.17293375483094,-0.10732433595607915
56,57,157,False,alternating,57,longIndefinite,Mary hauled a man who was wearing a hat a shipment.,Mary hauled a shipment to a man who was wearing a hat.,-74.0775224056138,-74.1502626536814,-0.07274024806758916
57,58,157,False,alternating,57,shortIndefinite,Alice hauled a man a shipment.,Alice hauled a shipment to a man.,-73.0497174262942,-73.16430229851413,-0.11458487221993607
58,59,159,False,alternating,59,longIndefinite,Bob willed a woman who was from work a painting.,Bob willed a painting to a woman who was from work.,-66.43504357337923,-66.50915169715876,-0.07410812377952425
59,60,159,False,alternating,59,shortIndefinite,John willed a man a painting.,John willed a painting to a man.,-85.18339237478358,-85.28875287589344,-0.10536050110985684
60,61,161,False,alternating,61,longIndefinite,Mary mailed a woman from work a note.,Mary mailed a note to a woman from work.,-73.81515836445016,-73.91046857767465,-0.09531021322449362
61,62,161,False,alternating,61,shortIndefinite,Alice mailed a man a note.,Alice mailed a note to a man.,-73.04971742628248,-73.16750049584357,-0.11778306956108509
62,63,163,False,alternating,63,longIndefinite,Maria phoned a man who was from work a request.,Maria phoned a request to a man who was from work.,-79.75358617237802,-79.43045309500688,0.32313307737113917
63,64,163,False,alternating,63,shortIndefinite,Maria phoned a woman a request.,Maria phoned a request to a woman.,-79.22454834512176,-79.09398169361958,0.1305666515021784
64,65,165,False,alternating,65,longIndefinite,John flung a woman wearing a hat an apple.,John flung an apple to a woman wearing a hat.,-80.20413930939617,-82.21256110975968,-2.0084218003635073
65,66,165,False,alternating,65,shortIndefinite,Linda flung a man an apple.,Linda flung an apple to a man.,-67.06400012638122,-67.1693605694872,-0.10536044310597958
66,67,167,False,alternating,67,longIndefinite,Alice chucked a woman who was wearing a hat a bag.,Alice chucked a bag to a woman who was wearing a hat.,-72.94980386927828,-73.01879569531779,-0.06899182603950749
67,68,167,False,alternating,67,shortIndefinite,Juan chucked a woman a bag.,Juan chucked a bag to a woman.,-62.02475127079622,-62.12006147378734,-0.09531020299111503
68,69,169,False,alternating,69,longIndefinite,John repaid a woman from work some money.,John repaid some money to a woman from work.,-85.28874441818665,-85.38388087166862,-0.0951364534819703
69,70,169,False,alternating,69,shortIndefinite,Maria repaid a woman some money.,Maria repaid some money to a woman.,-79.26818513851765,-79.385967700661,-0.11778256214334704
