"","item","plural","classification","frequency_rank","recipient_id","DOsentence","PDsentence"
"1",101,FALSE,"alternating",1,"longIndefinite","Bob took a man wearing a hat a gift.","Bob took a gift to a man wearing a hat."
"2",101,FALSE,"alternating",1,"shortIndefinite","Juan took a woman a gift.","Juan took a gift to a woman."
"3",103,FALSE,"alternating",3,"longIndefinite","Michael gave a man wearing a hat a message.","Michael gave a message to a man wearing a hat."
"4",103,FALSE,"alternating",3,"shortIndefinite","Bob gave a woman a message.","Bob gave a message to a woman."
"5",105,FALSE,"alternating",5,"longIndefinite","Linda showed a man who was from work a picture.","Linda showed a picture to a man who was from work."
"6",105,FALSE,"alternating",5,"shortIndefinite","Juan showed a woman a picture.","Juan showed a picture to a woman."
"7",107,FALSE,"alternating",7,"longIndefinite","Maria brought a woman who was wearing a hat a blanket.","Maria brought a blanket to a woman who was wearing a hat."
"8",107,FALSE,"alternating",7,"shortIndefinite","Juan brought a woman a blanket.","Juan brought a blanket to a woman."
"9",109,FALSE,"alternating",9,"longIndefinite","John paid a man wearing a hat a compliment.","John paid a compliment to a man wearing a hat."
"10",109,FALSE,"alternating",9,"shortIndefinite","Mary paid a woman a compliment.","Mary paid a compliment to a woman."
"11",111,FALSE,"alternating",11,"longIndefinite","Maria offered a man from work a payment.","Maria offered a payment to a man from work."
"12",111,FALSE,"alternating",11,"shortIndefinite","Alice offered a woman a payment.","Alice offered a payment to a woman."
"13",113,FALSE,"alternating",13,"longIndefinite","Linda sold a woman who was from work some coffee.","Linda sold some coffee to a woman who was from work."
"14",113,FALSE,"alternating",13,"shortIndefinite","Alice sold a man some coffee.","Alice sold some coffee to a man."
"15",115,FALSE,"alternating",15,"longIndefinite","Michael hit a woman wearing a hat a curveball.","Michael hit a curveball to a woman wearing a hat."
"16",115,FALSE,"alternating",15,"shortIndefinite","Bob hit a woman a curveball.","Bob hit a curveball to a woman."
"17",117,FALSE,"alternating",17,"longIndefinite","Mary taught a woman wearing a hat a concept.","Mary taught a concept to a woman wearing a hat."
"18",117,FALSE,"alternating",17,"shortIndefinite","Maria taught a woman a concept.","Maria taught a concept to a woman."
"19",119,FALSE,"alternating",19,"longIndefinite","Juan threw a woman wearing a hat a soda.","Juan threw a soda to a woman wearing a hat."
"20",119,FALSE,"alternating",19,"shortIndefinite","John threw a woman a soda.","John threw a soda to a woman."
"21",121,FALSE,"alternating",21,"longIndefinite","Linda pushed a woman who was from work a plate.","Linda pushed a plate to a woman who was from work."
"22",121,FALSE,"alternating",21,"shortIndefinite","John pushed a woman a plate.","John pushed a plate to a woman."
"23",123,TRUE,"alternating",23,"longIndefinite","Linda flew a team from work some weapons.","Linda flew some weapons to a team from work."
"24",123,TRUE,"alternating",23,"shortIndefinite","Bob flew a team some weapons.","Bob flew some weapons to a team."
"25",125,FALSE,"alternating",25,"longIndefinite","Bob promised a woman who was wearing a hat a chance.","Bob promised a chance to a woman who was wearing a hat."
"26",125,FALSE,"alternating",25,"shortIndefinite","Michael promised a man a chance.","Michael promised a chance to a man."
"27",127,FALSE,"alternating",27,"longIndefinite","John kicked a woman who was from work a football.","John kicked a football to a woman who was from work."
"28",127,FALSE,"alternating",27,"shortIndefinite","Michael kicked a woman a football.","Michael kicked a football to a woman."
"29",129,FALSE,"alternating",29,"longIndefinite","Alice granted a woman wearing a hat another chance.","Alice granted another chance to a woman wearing a hat."
"30",129,FALSE,"alternating",29,"shortIndefinite","Linda granted a man another chance.","Linda granted another chance to a man."
"31",131,FALSE,"alternating",31,"longIndefinite","Michael slipped a man from work a pill.","Michael slipped a pill to a man from work."
"32",131,FALSE,"alternating",31,"shortIndefinite","John slipped a woman a pill.","John slipped a pill to a woman."
"33",133,FALSE,"alternating",33,"longIndefinite","John quoted a man wearing a hat a sentence.","John quoted a sentence to a man wearing a hat."
"34",133,FALSE,"alternating",33,"shortIndefinite","Michael quoted a woman a sentence.","Michael quoted a sentence to a woman."
"35",135,FALSE,"alternating",35,"longIndefinite","Linda owed a woman wearing a hat a job.","Linda owed a job to a woman wearing a hat."
"36",135,FALSE,"alternating",35,"shortIndefinite","Bob owed a woman a job.","Bob owed a job to a woman."
"37",137,FALSE,"alternating",37,"longIndefinite","Mary slid a man from work a note.","Mary slid a note to a man from work."
