,Unnamed: 0,item,plural,classification,frequency_rank,recipient_id,DOsentence,PDsentence,DO_score,PD_score,diff
0,1,101,False,alternating,1,longIndefinite,Bob took a man wearing a hat a gift.,Bob took a gift to a man wearing a hat.,-56.887131754196446,-61.31246221788081,-4.425330463684361
1,2,101,False,alternating,1,shortIndefinite,Juan took a woman a gift.,Juan took a gift to a woman.,-60.942764949456816,-61.04821971286404,-0.1054547634072236
2,3,103,False,alternating,3,longIndefinite,Michael gave a man wearing a hat a message.,Michael gave a message to a man wearing a hat.,-52.44764272087029,-55.65588116114718,-3.2082384402768866
3,4,103,False,alternating,3,shortIndefinite,Bob gave a woman a message.,Bob gave a message to a woman.,-67.01609053399459,-67.13387751372623,-0.11778697973164753
4,5,105,False,alternating,5,longIndefinite,Linda showed a man who was from work a picture.,Linda showed a picture to a man who was from work.,-44.708561171251276,-16.093822717666626,28.61473845358465
5,6,105,False,alternating,5,shortIndefinite,Juan showed a woman a picture.,Juan showed a picture to a woman.,-42.58392809757837,-26.163901805877686,16.420026291700687
6,7,107,False,alternating,7,longIndefinite,Maria brought a woman who was wearing a hat a blanket.,Maria brought a blanket to a woman who was wearing a hat.,-63.752474390425405,-63.82254071724118,-0.07006632681577685
7,8,107,False,alternating,7,shortIndefinite,Juan brought a woman a blanket.,Juan brought a blanket to a woman.,-60.94285890715749,-61.04821956392116,-0.1053606567636649
8,9,109,False,alternating,9,longIndefinite,John paid a man wearing a hat a compliment.,John paid a compliment to a man wearing a hat.,-46.87921022532711,-55.719427817138616,-8.84021759181151
9,10,109,False,alternating,9,shortIndefinite,Mary paid a woman a compliment.,Mary paid a compliment to a woman.,-58.967380899520435,-59.08516406691592,-0.117783167395487
10,11,111,False,alternating,11,longIndefinite,Maria offered a man from work a payment.,Maria offered a payment to a man from work.,-63.41937420678611,-63.58545114104228,-0.16607693425616787
11,12,111,False,alternating,11,shortIndefinite,Alice offered a woman a payment.,Alice offered a payment to a woman.,-69.25548167505471,-69.37450391885375,-0.11902224379903714
12,13,113,False,alternating,13,longIndefinite,Linda sold a woman who was from work some coffee.,Linda sold some coffee to a woman who was from work.,-63.05498628780288,-63.12904653813452,-0.07406025033163388
13,14,113,False,alternating,13,shortIndefinite,Alice sold a man some coffee.,Alice sold some coffee to a man.,-69.72852489479227,-69.84356734064724,-0.11504244585496792
14,15,115,False,alternating,15,longIndefinite,Michael hit a woman wearing a hat a curveball.,Michael hit a curveball to a woman wearing a hat.,-68.51569574269551,-69.99937046561398,-1.4836747229184652
15,16,115,False,alternating,15,shortIndefinite,Bob hit a woman a curveball.,Bob hit a curveball to a woman.,-65.70437886029676,-65.80984762090257,-0.10546876060581667
16,17,117,False,alternating,17,longIndefinite,Mary taught a woman wearing a hat a concept.,Mary taught a concept to a woman wearing a hat.,-55.98276843222052,-58.035799466615394,-2.053031034394877
17,18,117,False,alternating,17,shortIndefinite,Maria taught a woman a concept.,Maria taught a concept to a woman.,-63.26703273837245,-63.38478173502024,-0.1177489966477907
18,19,119,False,alternating,19,longIndefinite,Juan threw a woman wearing a hat a soda.,Juan threw a soda to a woman wearing a hat.,-61.229801468455754,-61.31049938129363,-0.08069791283787708
19,20,119,False,alternating,19,shortIndefinite,John threw a woman a soda.,John threw a soda to a woman.,-60.69975915939637,-60.81754256509696,-0.11778340570058532
20,21,121,False,alternating,21,longIndefinite,Linda pushed a woman who was from work a plate.,Linda pushed a plate to a woman who was from work.,-63.054957313606884,-63.12268302055338,-0.06772570694649716
21,22,121,False,alternating,21,shortIndefinite,John pushed a woman a plate.,John pushed a plate to a woman.,-60.699752976958756,-59.36159372013466,1.338159256824099
22,23,123,True,alternating,23,longIndefinite,Linda flew a team from work some weapons.,Linda flew some weapons to a team from work.,-62.88788008088995,-62.97379523017594,-0.08591514928598798
23,24,123,True,alternating,23,shortIndefinite,Bob flew a team some weapons.,Bob flew some weapons to a team.,-67.01600173840443,-67.1320478319261,-0.11604609352167472
24,25,125,False,alternating,25,longIndefinite,Bob promised a woman who was wearing a hat a chance.,Bob promised a chance to a woman who was wearing a hat.,-14.313209772109985,-12.122196435928345,2.1910133361816406
25,26,125,False,alternating,25,shortIndefinite,Michael promised a man a chance.,Michael promised a chance to a man.,-70.11830503768486,-11.746905326843262,58.3713997108416
26,27,127,False,alternating,27,longIndefinite,John kicked a woman who was from work a football.,John kicked a football to a woman who was from work.,-61.105131509639584,-61.18526608398438,-0.08013457434479676
27,28,127,False,alternating,27,shortIndefinite,Michael kicked a woman a football.,Michael kicked a football to a woman.,-70.36158762170125,-70.57740095343745,-0.2158133317362001
28,29,129,False,alternating,29,longIndefinite,Alice granted a woman wearing a hat another chance.,Alice granted another chance to a woman wearing a hat.,-56.909729273508916,-56.91304555607226,-0.0033162825633468174
