"","sent_pair_id","verb_id","verb","classification","frequency_rank","recipient_id","DOsentence","PDsentence","DO_score1","PD_score1","diff1","DO_score2","PD_score2","diff2","DO_score3","PD_score3","diff3","DO_score4","PD_score4","diff4","DO_score5","PD_score5","diff5","DO_avg","PD_avg","diff_avg","DO_score_gpt2","PD_score_gpt2","diff_gpt2","DO_score_gpt2_med","PD_score_gpt2_med","diff_gpt2_med","DO_score_gpt2_large","PD_score_gpt2_large","diff_gpt2_large","DO_score_gpt2_xl","PD_score_gpt2_xl","diff_gpt2_xl"
"1",1,101,"took","alternating",1,"longIndefinite","Bob took a man wearing a hat a gift.","Bob took a gift to a man wearing a hat.",-5.10701417922974,-4.19746685028076,0.909547328948975,-5.37693881988525,-3.99872970581055,1.37820911407471,-5.44180870056152,-4.21326303482056,1.22854566574097,-5.51588535308838,-4.10175085067749,1.41413450241089,-5.68622064590454,-4.03193378448486,1.65428686141968,-5.42557353973389,-4.10862884521484,1.31694469451904,-5.40902614593506,-4.44805240631104,0.960973739624023,-5.36908197402954,-4.36419916152954,1.0048828125,-5.36908197402954,-4.36419916152954,1.0048828125,-5.36908197402954,-4.36419916152954,1.0048828125
"2",2,101,"took","alternating",1,"shortIndefinite","Juan took a woman a gift.","Juan took a gift to a woman.",-6.986328125,-5.42897748947144,1.55735063552856,-6.7355694770813,-5.6652193069458,1.0703501701355,-6.85444211959839,-6.00902128219604,0.845420837402344,-7.01745986938477,-5.78522253036499,1.23223733901978,-6.28227996826172,-5.59971904754639,0.682560920715332,-6.77521591186523,-5.69763193130493,1.0775839805603,-6.63134336471558,-5.57214498519897,1.0591983795166,-6.31617975234985,-5.30523300170898,1.01094675064087,-6.31617975234985,-5.30523300170898,1.01094675064087,-6.31617975234985,-5.30523300170898,1.01094675064087
"3",3,103,"gave","alternating",3,"longIndefinite","Michael gave a man wearing a hat a message.","Michael gave a message to a man wearing a hat.",-4.66288566589355,-3.77984952926636,0.883036136627197,-5.28226089477539,-3.83309888839722,1.44916200637817,-5.54003667831421,-3.85210728645325,1.68792939186096,-5.07702970504761,-3.64708781242371,1.4299418926239,-5.0837345123291,-3.99393391609192,1.08980059623718,-5.12918949127197,-3.82121548652649,1.30797400474548,-4.56195402145386,-3.81493759155273,0.747016429901123,-4.76300477981567,-4.08729791641235,0.67570686340332,-4.76300477981567,-4.08729791641235,0.67570686340332,-4.76300477981567,-4.08729791641235,0.67570686340332
"4",4,103,"gave","alternating",3,"shortIndefinite","Bob gave a woman a message.","Bob gave a message to a woman.",-4.26342916488647,-4.05144643783569,0.211982727050781,-4.63815450668335,-4.36552000045776,0.272634506225586,-4.89489316940308,-4.22584676742554,0.669046401977539,-4.86952638626099,-4.05176877975464,0.817757606506348,-4.63109445571899,-4.08203077316284,0.549063682556152,-4.65941953659058,-4.15532255172729,0.504096984863281,-4.68642234802246,-4.13143682479858,0.554985523223877,-4.77543067932129,-4.2192850112915,0.556145668029785,-4.77543067932129,-4.2192850112915,0.556145668029785,-4.77543067932129,-4.2192850112915,0.556145668029785
"5",5,105,"showed","alternating",5,"longIndefinite","Linda showed a man who was from work a picture.","Linda showed a picture to a man who was from work.",-5.64231538772583,-5.08321905136108,0.559096336364746,-5.35014915466309,-4.6197566986084,0.730392456054688,-6.14734649658203,-4.98866653442383,1.1586799621582,-5.9910569190979,-4.95625686645508,1.03480005264282,-5.80641746520996,-4.82440137863159,0.982016086578369,-5.78745708465576,-4.894460105896,0.892996978759766,-5.19445133209229,-4.52765893936157,0.666792392730713,-5.0833945274353,-4.59276628494263,0.490628242492676,-5.0833945274353,-4.59276628494263,0.490628242492676,-5.0833945274353,-4.59276628494263,0.490628242492676
"6",6,105,"showed","alternating",5,"shortIndefinite","Juan showed a woman a picture.","Juan showed a picture to a woman.",-6.16021728515625,-5.79371452331543,0.36650276184082,-5.92533540725708,-5.53812503814697,0.387210369110107,-6.28428363800049,-5.94131135940552,0.342972278594971,-6.30570077896118,-5.76312685012817,0.542573928833008,-6.23885440826416,-5.75331544876099,0.485538959503174,-6.18287830352783,-5.75791864395142,0.424959659576416,-5.37722015380859,-4.88065481185913,0.496565341949463,-5.05345249176025,-4.82863187789917,0.224820613861084,-5.05345249176025,-4.82863187789917,0.224820613861084,-5.05345249176025,-4.82863187789917,0.224820613861084
"7",7,107,"brought","alternating",7,"longIndefinite","Maria brought a woman who was wearing a hat a blanket.","Maria brought a blanket to a woman who was wearing a hat.",-4.72440338134766,-3.79869174957275,0.925711631774902,-4.91857194900513,-3.78834986686707,1.13022208213806,-4.67959642410278,-3.84840798377991,0.831188440322876,-4.90754270553589,-3.85895824432373,1.04858446121216,-4.4745192527771,-3.61550784111023,0.85901141166687,-4.74092674255371,-3.78198313713074,0.958943605422974,-4.41847038269043,-3.68334984779358,0.735120534896851,-4.46850252151489,-3.72904515266418,0.739457368850708,-4.46850252151489,-3.72904515266418,0.739457368850708,-4.46850252151489,-3.72904515266418,0.739457368850708
"8",8,107,"brought","alternating",7,"shortIndefinite","Juan brought a woman a blanket.","Juan brought a blanket to a woman.",-6.5384955406189,-5.62689638137817,0.911599159240723,-6.78163480758667,-6.10943412780762,0.672200679779053,-6.97280740737915,-6.45007801055908,0.522729396820068,-6.75693416595459,-6.43692016601562,0.320013999938965,-5.7810754776001,-5.57918548583984,0.201889991760254,-6.56618947982788,-6.04050283432007,0.525686645507813,-6.20298528671265,-5.46433591842651,0.738649368286133,-5.86644649505615,-4.93941020965576,0.927036285400391,-5.86644649505615,-4.93941020965576,0.927036285400391,-5.86644649505615,-4.93941020965576,0.927036285400391
"9",9,109,"paid","alternating",9,"longIndefinite","John paid a man wearing a hat a compliment.","John paid a compliment to a man wearing a hat.",-6.32925224304199,-4.27908706665039,2.0501651763916,-5.84920263290405,-4.09024858474731,1.75895404815674,-5.96985149383545,-3.98080062866211,1.98905086517334,-6.29566192626953,-4.18892574310303,2.1067361831665,-7.09848976135254,-4.19635486602783,2.90213489532471,-6.30849161148071,-4.14708337783813,2.16140823364258,-5.15369653701782,-3.87259531021118,1.28110122680664,-4.80114698410034,-4.2653169631958,0.535830020904541,-4.80114698410034,-4.2653169631958,0.535830020904541,-4.80114698410034,-4.2653169631958,0.535830020904541
"10",10,109,"paid","alternating",9,"shortIndefinite","Mary paid a woman a compliment.","Mary paid a compliment to a woman.",-5.28492164611816,-5.27477121353149,0.0101504325866699,-4.27454805374146,-4.47415113449097,-0.199603080749512,-5.45538473129272,-5.35282039642334,0.102564334869385,-5.52730178833008,-5.46378326416016,0.0635185241699219,-5.25509071350098,-5.56621503829956,-0.311124324798584,-5.15944938659668,-5.2263482093811,-0.0668988227844238,-4.69961023330688,-4.36446857452393,0.335141658782959,-4.73825979232788,-4.80842447280884,-0.070164680480957,-4.73825979232788,-4.80842447280884,-0.070164680480957,-4.73825979232788,-4.80842447280884,-0.070164680480957
"11",11,111,"offered","alternating",11,"longIndefinite","Maria offered a man from work a payment.","Maria offered a payment to a man from work.",-6.17769575119019,-5.47208642959595,0.705609321594238,-6.11325120925903,-5.44807958602905,0.66517162322998,-6.1833062171936,-4.83524799346924,1.34805822372437,-6.31231784820557,-5.32250452041626,0.989813327789307,-6.3733491897583,-4.97740697860718,1.39594221115112,-6.23198404312134,-5.21106510162353,1.0209189414978,-5.76388263702393,-5.12114429473877,0.642738342285156,-6.14133167266846,-5.24850130081177,0.892830371856689,-6.14133167266846,-5.24850130081177,0.892830371856689,-6.14133167266846,-5.24850130081177,0.892830371856689
"12",12,111,"offered","alternating",11,"shortIndefinite","Alice offered a woman a payment.","Alice offered a payment to a woman.",-5.30764770507812,-4.95400714874268,0.353640556335449,-5.54824066162109,-4.86885070800781,0.679389953613281,-5.50728607177734,-4.51191806793213,0.995368003845215,-5.9606876373291,-4.88383340835571,1.07685422897339,-5.63108444213867,-5.14087009429932,0.490214347839355,-5.59098930358887,-4.87189588546753,0.719093418121338,-5.51676416397095,-4.80261087417603,0.714153289794922,-6.2067723274231,-5.31075954437256,0.896012783050537,-6.2067723274231,-5.31075954437256,0.896012783050537,-6.2067723274231,-5.31075954437256,0.896012783050537
"13",13,113,"sold","alternating",13,"longIndefinite","Linda sold a woman who was from work some coffee.","Linda sold some coffee to a woman who was from work.",-6.6273250579834,-5.30335998535156,1.32396507263184,-7.16559457778931,-5.06769466400146,2.09789991378784,-6.98017835617065,-5.38415908813477,1.59601926803589,-7.15915536880493,-5.43620634078979,1.72294902801514,-6.7599720954895,-5.31440353393555,1.44556856155396,-6.93844509124756,-5.30116472244263,1.63728036880493,-6.1014347076416,-4.84605360031128,1.25538110733032,-6.02043581008911,-4.88553190231323,1.13490390777588,-6.02043581008911,-4.88553190231323,1.13490390777588,-6.02043581008911,-4.88553190231323,1.13490390777588
"14",14,113,"sold","alternating",13,"shortIndefinite","Alice sold a man some coffee.","Alice sold some coffee to a man.",-5.91664171218872,-4.85825252532959,1.05838918685913,-5.95851278305054,-4.88840055465698,1.07011222839355,-6.22036218643188,-4.77320194244385,1.44716024398804,-6.42166090011597,-5.44880294799805,0.97285795211792,-6.37548208236694,-4.97773265838623,1.39774942398071,-6.17853193283081,-4.98927812576294,1.18925380706787,-5.59706878662109,-4.63526964187622,0.961799144744873,-5.87631607055664,-4.90761232376099,0.968703746795654,-5.87631607055664,-4.90761232376099,0.968703746795654,-5.87631607055664,-4.90761232376099,0.968703746795654
"15",15,115,"hit","alternating",15,"longIndefinite","Michael hit a woman wearing a hat a curveball.","Michael hit a curveball to a woman wearing a hat.",-5.5618896484375,-4.3939995765686,1.1678900718689,-5.29478693008423,-4.35497283935547,0.93981409072876,-5.17823457717896,-4.18014430999756,0.998090267181396,-5.22382211685181,-4.38836717605591,0.835454940795898,-5.27536010742188,-4.57698631286621,0.698373794555664,-5.30681867599487,-4.37889404296875,0.927924633026123,-5.06317758560181,-4.34246873855591,0.720708847045898,-5.26236629486084,-4.41862297058105,0.843743324279785,-5.26236629486084,-4.41862297058105,0.843743324279785,-5.26236629486084,-4.41862297058105,0.843743324279785
"16",16,115,"hit","alternating",15,"shortIndefinite","Bob hit a woman a curveball.","Bob hit a curveball to a woman.",-5.19778966903687,-4.74011659622192,0.457673072814941,-5.41013288497925,-4.89670467376709,0.513428211212158,-4.86175918579102,-4.53164672851562,0.330112457275391,-5.61022090911865,-5.00204277038574,0.60817813873291,-5.00880813598633,-4.62131261825562,0.387495517730713,-5.21774215698242,-4.7583646774292,0.459377479553223,-4.99547624588013,-4.61151790618896,0.383958339691162,-5.91469621658325,-4.83162117004395,1.08307504653931,-5.91469621658325,-4.83162117004395,1.08307504653931,-5.91469621658325,-4.83162117004395,1.08307504653931
"17",17,117,"taught","alternating",17,"longIndefinite","Mary taught a woman wearing a hat a concept.","Mary taught a concept to a woman wearing a hat.",-6.56656169891357,-4.68937158584595,1.87719011306763,-6.15119457244873,-4.75755453109741,1.39364004135132,-6.46674585342407,-5.03971004486084,1.42703580856323,-6.60083723068237,-5.24898481369019,1.35185241699219,-6.14404821395874,-5.02416896820068,1.11987924575806,-6.3858775138855,-4.95195798873901,1.43391952514648,-6.42286491394043,-5.07574462890625,1.34712028503418,-6.21144914627075,-4.98615455627441,1.22529458999634,-6.21144914627075,-4.98615455627441,1.22529458999634,-6.21144914627075,-4.98615455627441,1.22529458999634
"18",18,117,"taught","alternating",17,"shortIndefinite","Maria taught a woman a concept.","Maria taught a concept to a woman.",-6.65451860427856,-5.14990377426147,1.50461483001709,-5.88976240158081,-5.365638256073,0.524124145507812,-5.74885749816895,-5.2155556678772,0.533301830291748,-6.42228746414185,-5.6819109916687,0.740376472473145,-5.54491853713989,-5.27058553695679,0.274333000183105,-6.05206890106201,-5.33671884536743,0.71535005569458,-6.10605478286743,-5.29501104354858,0.811043739318848,-6.12935495376587,-5.3098783493042,0.81947660446167,-6.12935495376587,-5.3098783493042,0.81947660446167,-6.12935495376587,-5.3098783493042,0.81947660446167
"19",19,119,"threw","alternating",19,"longIndefinite","Juan threw a woman wearing a hat a soda.","Juan threw a soda to a woman wearing a hat.",-6.19771480560303,-4.93792295455933,1.2597918510437,-6.78327941894531,-4.885413646698,1.89786577224731,-6.84791469573975,-4.90029811859131,1.94761657714844,-6.60666179656982,-5.46377992630005,1.14288187026978,-6.95520544052124,-5.06064176559448,1.89456367492676,-6.67815523147583,-5.04961128234863,1.6285439491272,-6.25463008880615,-4.60319709777832,1.65143299102783,-6.13051271438599,-4.65766859054565,1.47284412384033,-6.13051271438599,-4.65766859054565,1.47284412384033,-6.13051271438599,-4.65766859054565,1.47284412384033
"20",20,119,"threw","alternating",19,"shortIndefinite","John threw a woman a soda.","John threw a soda to a woman.",-6.38636922836304,-5.18760824203491,1.19876098632812,-5.91485166549683,-5.14514589309692,0.769705772399902,-6.23941946029663,-5.04159498214722,1.19782447814941,-6.47622299194336,-5.6579155921936,0.818307399749756,-5.82849264144897,-5.06059598922729,0.76789665222168,-6.16907119750977,-5.21857213973999,0.950499057769775,-5.9226508140564,-4.82748746871948,1.09516334533691,-6.24573183059692,-5.10866117477417,1.13707065582275,-6.24573183059692,-5.10866117477417,1.13707065582275,-6.24573183059692,-5.10866117477417,1.13707065582275
"21",21,121,"pushed","alternating",21,"longIndefinite","Linda pushed a woman who was from work a plate.","Linda pushed a plate to a woman who was from work.",-6.56292390823364,-5.75748586654663,0.805438041687012,-6.0054612159729,-5.42844009399414,0.57702112197876,-6.49389457702637,-5.55052185058594,0.94337272644043,-6.61370038986206,-5.58666563034058,1.02703475952148,-6.27101278305054,-5.42964315414429,0.84136962890625,-6.3893985748291,-5.55055131912231,0.838847255706787,-6.02048683166504,-5.27699613571167,0.743490695953369,-6.56805419921875,-5.12835359573364,1.43970060348511,-6.56805419921875,-5.12835359573364,1.43970060348511,-6.56805419921875,-5.12835359573364,1.43970060348511
"22",22,121,"pushed","alternating",21,"shortIndefinite","John pushed a woman a plate.","John pushed a plate to a woman.",-6.28430700302124,-5.34618616104126,0.93812084197998,-6.41115045547485,-5.79857587814331,0.612574577331543,-6.39288139343262,-5.42058229446411,0.972299098968506,-6.07070398330688,-5.72742986679077,0.343274116516113,-6.05938291549683,-5.62860202789307,0.43078088760376,-6.24368515014648,-5.5842752456665,0.65940990447998,-6.49212503433228,-5.48287439346313,1.00925064086914,-7.40104913711548,-5.46893978118896,1.93210935592651,-7.40104913711548,-5.46893978118896,1.93210935592651,-7.40104913711548,-5.46893978118896,1.93210935592651
"23",23,123,"flew","alternating",23,"longIndefinite","Linda flew a team from work some weapons.","Linda flew some weapons to a team from work.",-8.06759548187256,-6.52974319458008,1.53785228729248,-7.56798458099365,-6.39642429351807,1.17156028747559,-7.35860347747803,-6.55768489837646,0.800918579101562,-8.21763324737549,-7.31425476074219,0.903378486633301,-8.47231483459473,-6.40723133087158,2.06508350372314,-7.93682632446289,-6.64106769561768,1.29575862884521,-7.36193656921387,-6.29421949386597,1.0677170753479,-7.17910957336426,-6.09399127960205,1.08511829376221,-7.17910957336426,-6.09399127960205,1.08511829376221,-7.17910957336426,-6.09399127960205,1.08511829376221
"24",24,123,"flew","alternating",23,"shortIndefinite","Bob flew a team some weapons.","Bob flew some weapons to a team.",-7.4121880531311,-5.8857536315918,1.52643442153931,-7.23509645462036,-6.39114904403687,0.843947410583496,-7.68415260314941,-6.4759955406189,1.20815706253052,-7.23282957077026,-6.33885097503662,0.893978595733643,-7.75689458847046,-6.55885314941406,1.1980414390564,-7.46423225402832,-6.33012046813965,1.13411178588867,-7.71902227401733,-6.14847850799561,1.57054376602173,-7.42443895339966,-6.33673620223999,1.08770275115967,-7.42443895339966,-6.33673620223999,1.08770275115967,-7.42443895339966,-6.33673620223999,1.08770275115967
"25",25,125,"promised","alternating",25,"longIndefinite","Bob promised a woman who was wearing a hat a chance.","Bob promised a chance to a woman who was wearing a hat.",-4.90966463088989,-4.2399001121521,0.669764518737793,-5.60862731933594,-4.55339050292969,1.05523681640625,-5.33824634552002,-4.36428260803223,0.973963737487793,-5.45774126052856,-4.70132303237915,0.756418228149414,-4.68318033218384,-4.53869485855103,0.144485473632812,-5.19949197769165,-4.47951822280884,0.719973754882812,-4.72107982635498,-4.06325626373291,0.65782356262207,-5.01893043518066,-4.28665494918823,0.732275485992432,-5.01893043518066,-4.28665494918823,0.732275485992432,-5.01893043518066,-4.28665494918823,0.732275485992432
"26",26,125,"promised","alternating",25,"shortIndefinite","Michael promised a man a chance.","Michael promised a chance to a man.",-6.23549604415894,-5.85539245605469,0.380103588104248,-5.85406160354614,-5.74802541732788,0.106036186218262,-5.44927167892456,-6.14454984664917,-0.695278167724609,-5.62566328048706,-5.91992235183716,-0.294259071350098,-5.95932245254517,-6.18274545669556,-0.223423004150391,-5.82476301193237,-5.97012710571289,-0.145364093780518,-5.37813711166382,-5.21101474761963,0.167122364044189,-5.87177705764771,-5.54884243011475,0.322934627532959,-5.87177705764771,-5.54884243011475,0.322934627532959,-5.87177705764771,-5.54884243011475,0.322934627532959
"27",27,127,"kicked","alternating",27,"longIndefinite","John kicked a woman who was from work a football.","John kicked a football to a woman who was from work.",-5.99213123321533,-5.28915214538574,0.70297908782959,-6.70362710952759,-5.60544538497925,1.09818172454834,-6.47290802001953,-5.34937238693237,1.12353563308716,-6.49300909042358,-5.56715202331543,0.925857067108154,-5.94654703140259,-5.09240818023682,0.854138851165771,-6.32164449691772,-5.38070602416992,0.940938472747803,-6.02950716018677,-4.85504770278931,1.17445945739746,-6.22633647918701,-4.79104471206665,1.43529176712036,-6.22633647918701,-4.79104471206665,1.43529176712036,-6.22633647918701,-4.79104471206665,1.43529176712036
"28",28,127,"kicked","alternating",27,"shortIndefinite","Michael kicked a woman a football.","Michael kicked a football to a woman.",-6.71950101852417,-5.52717971801758,1.19232130050659,-6.5697340965271,-5.45543050765991,1.11430358886719,-6.82836961746216,-5.77328062057495,1.05508899688721,-6.48791122436523,-5.69015407562256,0.797757148742676,-6.39328956604004,-5.67267751693726,0.720612049102783,-6.59976110458374,-5.62374448776245,0.976016616821289,-6.5667929649353,-4.8849081993103,1.681884765625,-6.7757773399353,-4.81627321243286,1.95950412750244,-6.7757773399353,-4.81627321243286,1.95950412750244,-6.7757773399353,-4.81627321243286,1.95950412750244
"29",29,129,"granted","alternating",29,"longIndefinite","Alice granted a woman wearing a hat another chance.","Alice granted another chance to a woman wearing a hat.",-5.94489669799805,-4.70285415649414,1.24204254150391,-6.4320273399353,-4.88080596923828,1.55122137069702,-6.56138849258423,-5.58681201934814,0.974576473236084,-6.43723678588867,-5.13737297058105,1.29986381530762,-6.21273756027222,-5.23348569869995,0.979251861572266,-6.31765737533569,-5.10826616287231,1.20939121246338,-5.74788999557495,-4.8017110824585,0.946178913116455,-5.52803182601929,-5.09814357757568,0.429888248443604,-5.52803182601929,-5.09814357757568,0.429888248443604,-5.52803182601929,-5.09814357757568,0.429888248443604
"30",30,129,"granted","alternating",29,"shortIndefinite","Linda granted a man another chance.","Linda granted another chance to a man.",-6.76539516448975,-6.46494293212891,0.30045223236084,-5.99314498901367,-6.05574607849121,-0.0626010894775391,-6.33111095428467,-6.57269430160522,-0.241583347320557,-6.93698215484619,-6.66300535202026,0.273976802825928,-6.63449573516846,-6.67824649810791,-0.0437507629394531,-6.53222579956055,-6.4869270324707,0.0452987670898437,-6.10301685333252,-5.95202684402466,0.150990009307861,-5.70014333724976,-5.73342418670654,-0.0332808494567871,-5.70014333724976,-5.73342418670654,-0.0332808494567871,-5.70014333724976,-5.73342418670654,-0.0332808494567871
